term,kana,meaning
平ら,たいら,形容动词 扁平，平，平坦
平仮名,ひらがな,平假名
平凡,へいぼん,形容动词 平凡，普通，平常
平原,へいげん,名词 平原
平和,へいわ,形容动词 和平
平和活動,へいわかつどう,名词 和平运动
平均,へいきん,名词 平均
平均年齢,へいきんねんれい,名 平均年龄
平均気温,へいきんきおん,名 平均气温
平均点,へいきんてん,名词 平均分，平均点
平常,へいじょう,平常，平素
平年,へいねん,平年，常年(没有异常的年份)
平成,へいせい,专有词 平成
平方メートル,へいほうメートル,平方米
平日,へいじつ,工作日；平日，平时
平気,へいき,沉着，冷静；不在乎，不介意，无动于衷
平穏,へいおん,平稳；平静；平安
平等,びょうどう,名词 平等，同等
平行,へいこう,平行，并行
平行線,へいこうせん,平行线
平衡,へいこう,平衡，均衡
平野,へいや,平原
年,とし,名词 年龄，岁数
年々,ねんねん,副 逐年，每年
年上,としうえ,年长
年中,ねんじゅう,全年，整年；一年到头，经常地
年代,ねんだい,年代
年休,ねんきゅう,年假，带薪休假
年功序列,ねんこうじょれつ,论资排辈
年収,ねんしゅう,名词 年收入，年薪
年号,ねんごう,名词 年号
年寄り,としより,名词 老年人，老人
年少,ねんしょう,年少，年轻
年度,ねんど,年度
年月,ねんげつ,名词 时间，光阴，年月，岁月
年末,ねんまつ,名词 年底，年末
年次,ねんじ,年份，年度
年賀状,ねんがじょう,名词 贺年卡
年配,ねんぱい,名词 相当大年龄；年纪
年金,ねんきん,养老金
年鑑,ねんかん,年鉴
年間,ねんかん,名词 一年；年间，年代
年頃,としごろ,适龄；大约的年龄
年頭,ねんとう,年初
年齢,ねんれい,名词 年龄
幸い,さいわい,形容动词 幸运，荣幸；幸好
幸せ,しあわせ,形容动词 幸福，幸运；侥幸
幸運,こううん,名词 幸运．好运，侥幸
幹,みき,树干；事物的主要部分
幹部,かんぶ,干部，领导
幻想,げんそう,幻想，空想
幼い,おさない,形容词 幼小，年幼；幼稚
幼児,ようじ,名词 幼儿，婴儿
幼少,ようしょう,年幼，童年时代
幼稚園,ようちえん,名词 幼儿园
幼馴染,おさななじみ,青梅竹马
幽霊,ゆうれい,名词 幽灵
幾分,いくぶん,一部分；少许，一点儿
幾多,いくた,许多，几多
広い,ひろい,宽广的；广泛的
広がります,ひろがります,动1 【自】蔓延，拓宽
広がる,ひろがる,扩展，蔓延
広げる,ひろげる,动2 展开，扩大，扩展
広さ,ひろさ,面积；宽度
広まる,ひろまる,动1 扩大；传播，遍及
広める,ひろめる,动2 推广；扩大
広告,こうこく,广告，宣传
広告主,こうこくめし,名词 广告出资人，出资做广告的人
広告代理店,こうこくだいりてん,名词 广告公司
広告収入,こうこくしゅうにゅう,名词 广告收入
広場,ひろば,名词 广场
広島,ひろしま,专 广岛
広州,こうしゅう,专有词 广州
広州食品,こうしゅうしょくひん,专有词 广州食品公司
庇う,かばう,保护，庇护，包庇
床の間,とこのま,壁龛，神龛
床屋,とこや,理发店
底,そこ,底部
店,みせ,店，商店
店内,てんない,店内，店里
店員,てんいん,店员，售货员
度,たび,次，回；次数
度々,たびたび,屡次，再三
度忘れ,どわすれ,突然忘记，一时想不起来
度胸,どきょう,名词 胆量，胆子
座ります,すわります,坐
座り込む,すわりこむ,坐下不动；坐着不走
座る,すわる,坐
座布団,ざぶとん,名词 坐垫
座席,ざせき,座位
座敷,ざしき,（日式）铺着席子的房间
座標,ざひょう,（数学）坐标
座談会,ざだんかい,座谈会
庭,にわ,院子，庭园
庭園,ていえん,庭园
庶民,しょみん,老百姓，平民，群众
廃れる,すたれる,废除；不流行；衰落
廃棄,はいき,废弃，废除（合同）
廃止,はいし,废止，废除，作废
廊下,ろうか,走廊，过道
延々,えんえん,副词 绵延不绝，连绵不断
延ばします,のばします,动1 【他】延长
延ばす,のばす,延缓，拖延
延びる,のびる,动2 延伸，延长
延べ,のべ,名词 总计，共计
延期,えんきする,动3 延期
延長,えんちょう,延长；延续，扩展
建,けん,专有词 建
建ちます,たちます,动1 【自】盖，建
建つ,たつ,建，盖
建てます,たてます,动2 【他】盖，建造
建てる,たてる,建，盖
建前,たてまえ,原则，方针；场面话
建物,たてもの,建筑物
建築,けんちく,名词 建筑
建築家,けんちくか,名 建筑师
建設,けんせつ,建设，修建
建設～,けんせつする,动3 修建，建设
建造物,けんぞうぶつ,名词 建筑物
弁償,べんしょう,赔偿
弁償～,べんしょうする,动3 赔，赔偿
弁当,べんとう,盒饭
弁明,べんめい,解释，说明；辩解
弁解,べんかい,辩解，分辩
弁論,べんろん,辩论，争辩
弁護,べんご,辩护，辩解
弁護士,べんごし,名词 律师，辩护律师
弄る,いじる,摆弄，玩弄；玩赏（物品）
弊害,へいがい,弊病；恶劣影响
弊社,へいしゃ,（称自己公司）敝公司
式,しき,名词 公式，式，算式
式場,しきじょう,举行仪式的场所
引かれる,ひかれる,被吸引住，被迷住
引きこもる,ひきこもる,闷在家里；隐居，退隐
引きずる,ひきずる,拖拽；拖延；硬拽
引きます,ひきます,拉
引き上げる,ひきあげる,提升；抬高
引き下がる,ひきさがる,退下；撒手不干
引き伸ばす,ひきのばす,拉长；拖延
引き出し,ひきだし,抽屉
引き出す,ひきだす,抽出；引导出来；取钱
引き分け,ひきわけ,名词 平手，分开，平分
引き取る,ひきとる,退出；回去；取回，领回；收养
引き受ける,ひきうける,动2 答应，接受；承担
引き止める,ひきとめる,阻止，制止，勒住，拉住；留，挽留
引き算,ひきざん,（数学）减法
引き継ぐ,ひきつぐ,交接，移交；继承
引き続き,ひきつづき,紧接着，继续；连续
引き締める,ひきしめる,勒紧；紧缩，缩减
引き起こす,ひきおこす,引起（问题）；拉起，拽起
引き返す,ひきかえす,返回，折回
引く,ひく,拉，拽；引起；吸引
引け目,ひけめ,自卑感
引っかける,ひっかける,挂上，挂着
引っくり返る,ひっくりかえる,动1 倒，翻倒
引っ張ります,ひっぱります,动1 【他】拉，拽
引っ張る,ひっぱる,拉，拽，硬拉
引っ掛かる,ひっかかる,挂，挂住；牵连；受骗，上当
引っ掻く,ひっかく,搔，挠
引っ繰り返る,ひっくりかえる,倒，翻倒，颠倒过来
引っ越し,ひっこし,搬家，搬迁
引っ越しします,ひっこしします,搬家
引っ越します,ひっこします,动1 【自】搬迁
引っ越す,ひっこす,搬家，搬迁
引っ込む,ひっこむ,隐退，退居；畏缩，退缩；塌，凹进去
引力,いんりょく,引力，万有引力
引率,いんそつ,率领，带领
引用,いんよう,引用（文章、事例等）
引退,いんたい,隐退，退役
弛み,たるみ,松弛；松懈
弛む,たゆむ,松弛，松懈
弟,おとうと,（我）弟弟
弟さん,おとうとさん,（他人的）弟弟
弟子,でし,弟子，徒弟
弥生,やよい,（阴历）三月
弱々しい,よわよわしい,弱不禁风的，软弱无力的
弱い,よわい,弱的；脆弱的
弱さ,よわさ,名词 柔弱，脆弱
弱まる,よわまる,动1 变弱，衰弱
弱み,よわみ,弱点，缺点
弱める,よわめる,动2 弱化，减弱
弱点,じゃくてん,弱点；缺点，短处
弱音,よわね,泄气话，不争气的话
張,ちょう,专 张
張り切る,はりきる,动3 干劲十足，紧张；绷紧
張り合い,はりあい,竞争，对立；有劲头
張り合う,はりあう,竞争，争夺
張る,はる,伸展，伸开；拉紧，绷直
張本人,ちょうほんにん,罪魁祸首，肇事者
強い,つよい,强的；强壮的
強いて,しいて,强逼，强迫，勉强
強いる,しいる,强迫，迫使
強まる,つよまる,动1 强烈起来，强硬起来
強める,つよめる,动2 加强，增强
強制,きょうせい,强制，强迫
強力,きょうりょく,强有力，强大
強化,きょうか,名词 加强，强化
強引,ごういん,强行的；强制的；蛮干的
強情,ごうじょう,名词 犟，固执，顽固，倔强
強気,つよき,强硬，坚决；行情看涨
強烈,きょうれつ,形容动词 强烈
強盗,ごうとう,名词 抢劫．强盗
強硬,きょうこう,强硬
強行,きょうこう,强行，硬干
強調,きょうちょうする,动3 重视，强调
強請る,ねだる,死乞白赖地要求
強風,きょうふう,名词 强风
弾,たま,子弹，炮弹；订书钉
弾きます,ひきます,弹（钢琴等）
弾く,ひく,弹奏（乐器等）
弾む,はずむ,反弹；起劲儿，（情绪）高涨；（呼吸）急促
弾力,だんりょく,弹力；弹性
当たり,あたり,命中，打中；中奖，中签；成功；待人处事；感觉
当たります,あたります,动1 【自】中（彩），抽中
当たり前,あたりまえ,形容动词 当然，理所当然
当たる,あたる,撞上；命中；相当于
当て,あて,目的，目标；期待，指望
当てはまる,あてはまる,动1 适合；适用
当てはめる,あてはめる,动2 填，应用，适用
当てる,あてる,碰，撞；贴上；猜
当て嵌まる,あてはまる,适用，适合，恰当，符合条件
当人,とうにん,名词 本人，当事人
当分,とうぶん,暂时，一时，目前
当初,とうしょ,名词 当初
当店,とうてん,名词 本店，我店
当方,とうほう,我们，我方
当日,とうじつ,名词 当天，当日
当時,とうじ,名词 当时
当然,とうぜん,当然，理所应当
当社,とうしゃ,名词 本公司，本社，该公司
当選,とうせん,当选，中选
当館,とうかん,名词 该馆，本馆，这个馆
当～,とう～,本～，这～
形,かたち,形状，形式
形作る,かたちづくる,形成，构成
形勢,けいせい,形势，局势
形容词+さ,,构成表示某种状态的名词。\n一类形词尾い→さ\n二类形容词词干＋さ
形容词的副词性用法,,接续：一类形容词：词尾い→く+动词  二类形容词：词干＋に+动词
形式,けいしき,名词 形式
形態,けいたい,形态，样子
形成,けいせい,形成
形状,けいじょう,形状
彩る,いろどる,上色；装饰，点缀
彫る,ほる,动1 雕刻，雕，刻
彫刻,ちょうこく,雕刻
影,かげ,影子
影響,えいきょう,影响
役,やく,职务；角色
役に立ちます,やくにたちます,有用，起作用
役人,やくにん,名词 官员，公务员
役割,やくわり,名词 任务，职资；角色；作用
役員,やくいん,名词 干部；干事；董事
役場,やくば,（乡、村）办事处
役所,やくしょ,官署，政府机关
役目,やくめ,名词 作用，任务，职责，职务
役目を果たす,やくめをはたす,惯用语 发挥作用，完成任务
役立ちます,やくだちます,动1 【自】有用，有益
役立つ,やくだつ,有用，起效
役立てる,やくだてる,动2 使起作用，供使用
役者,やくしゃ,演员；有才华的人
役職,やくしょく,官职，职务；要职
彼,かれ,他，男朋友，情人
彼ら,かれら,代词 他们
彼女,かのじょ,她；女朋友
彼岸,ひがん,春分、秋分时节；彼岸，对岸
彼氏,かれし,男朋友；他
往復,おうふく,往返，来回
往来,おうらい,往来，通行；交际，来往
往診,おうしん,出诊
待ちます,まちます,等
待ち合わせ,まちあわせ,名词 等候，约会，碰头
待ち合わせる,まちあわせる,动2 约会，碰头
待ち明かす,まちあかす,彻夜等候；久候
待ち望む,まちのぞむ,盼望，殷切希望
待ち遠しい,まちどおしい,急切等待的，盼望已久的
待つ,まつ,等，等待
待合室,まちあいしつ,等候室
待望,たいぼう,期望，期待
待遇,たいぐう,待遇，报酬；接待，对待
後,のち,之后，以后；今后，将来
後で,あとで,副 过会儿
後にする,あとにする,待会儿，放在后面，推后
後ほど,のちほど,副词 过一会儿，随后
後ろ,うしろ,（空间）后面
後ろめたい,うしろめたい,内疚的，亏心的
後ろ向き,うしろむき,背对着；（态度）消极
後ろ盾,うしろだて,后盾，靠山
後ろ足,うしろあし,后腿，后肢；转过身去要跑
後半,こうはん,名词 后半，后半部分
後回し,あとまわし,推后，推迟
後始末,あとしまつ,善后，收拾
後悔,こうかいする,动3 后悔
後日,ごじつ,名词 改日，将来，日后；事后
後片づけ,あとかたづけ,名词 善后，整理，收拾
後片付け,あとかたづけ,善后，整理，收拾
後略,こうりゃく,省略后文，后略
後者,こうしゃ,后者
後藤,ごとう,专有词 后藤
後輩,こうはい,名词 后进，晚辈
徐々に,じょじょに,副词 渐渐，逐步
徐行,じょこう,慢行
徒歩,とほ,徒步
従う,したがう,动1 遵守，遵从，服从；跟随
従える,したがえる,率领，带着；征服
従事,じゅうじ,从事
従来,じゅうらい,名词 以前，直到现在
従業員,じゅうぎょういん,工作人员，职员
得る,える,动2 得到，取得
得意,とくい,擅长
得意先,とくいさき,主顾，客户
得手,えて,擅长的，拿手的
得点,とくてん,分数，得分
得点～,とくてんする,动3 得分
御ちそう様でした,ごちそうさまでした,惯用语 谢谢热情款待
御中,おんちゅう,名词 （公函）启，公启
御社,おんしゃ,名词 贵公司，贵社
御行,おんこう,名词 贵行
御～,おん～,贵～
復旧,ふっきゅうする,动3 复旧
復活,ふっかつ,复活，复苏
復習,ふくしゅう,复习
復習します,ふくしゅうします,动3 复习
復興,ふっこう,名词 复兴，重建
循環,じゅんかん,名词 循环
微力,びりょく,绵薄之力
微塵も,みじんも,（后接否定）丝毫也⋯⋯
微妙,びみょう,微妙的
微生物,びせいぶつ,名词 微生物
微笑,びしょう,微笑
微笑む,ほほえむ,微笑；（花蕾）绽放
微量,びりょう,名词 微量
徳川家康,とくがわいえやす,专有词 德川家康
徳栄,とくえい,专有词 德荣
徴収,ちょうしゅう,征收（钱）
徹する,てっする,透彻，贯彻；彻夜；彻底
徹夜,てつや,通宵，熬夜
徹夜します,てつやします,动3 熬通宵，彻夜
徹底,てってい,彻底，贯彻始终
徹底的,てっていてき,彻底的
心,こころ,心；内心；心情
心を1つにする,こころをひとつにする,惯用语 团结一心，互相协作
心地,ここち,心情，心境，感觉
心地よい,ここちよい,愉快的，爽快的，惬意的
心強い,こころづよい,心里有底的；受鼓舞的；有把握的
心当たり,こころあたり,猜想得到；线索
心得,こころえ,心得，体会；规章制度，须知
心得る,こころえる,懂得，明白；答应，应允
心情,しんじょう,心情
心掛かり,こころがかり,担心，不放心
心掛け,こころがけ,留心，注意；人品，为人；用心，努力
心掛ける,こころがける,留心，注意，记在心里
心構え,こころがまえ,思想准备，精神准备
心理,しんり,心理
心理学,しんりがく,心理学
心細い,こころぼそい,心里没底的，心中不安的
心臓,しんぞう,动3 心脏
心身,しんしん,身心，身与心
心遣い,こころづかい,担心，操心，关心
心配,しんぱい,担心，挂念
心配します,しんぱいします,担心
心配をかける,しんぱいをかける,惯用语 使担心，使挂念
心配事,しんぱいごと,名词 心事
心配～,しんぱいします,动3 担心
必ず,かならず,一定，必定
必ずしも,かならずしも,惯用语 未必，不一定
必ずしも~ない,,未必……
必修,ひっしゅう,必修
必死,ひっし,拼命
必然,ひつぜん,必然
必要,ひつよう,必要，必需
必見,ひっけん,名词 必须看（的地方）
必需品,ひつじゅひん,必需品
忍ぶ,しのぶ,忍耐，忍受；偷偷地
忍者,にんじゃ,忍者
忍耐,にんたい,忍耐，忍受
志す,こころざす,立志，志向
志向,しこう,志向，意向
志望,しぼう,志愿，期望
志望動機,しぼうどうき,名词 志愿动机，志愿理由
忘れます,わすれます,忘记
忘れる,わすれる,忘记，遗忘
忘れ物,わすれもの,遗失物
忘年会,ぼうねんかい,名词 忘年会，年末聚会
忙しい,いそがしい,忙碌的
応える,こたえる,响应；深感，痛感
応じる,おうじる,动2 适应，接受，回答，答应
応募,おうぼする,动3 报名参加，应征；应募
応対,おうたい,名词 应酬，接待
応急,おうきゅう,应急
応接,おうせつ,接待
応接室,おうせつしつ,名 会客室
応援,おうえん,声援；支援，援助
応援～,おうえんする,动3 声援，支援
応用,おうよう,应用，运用
応答,おうとう,应答，应对
忠告,ちゅうこく,忠告，劝告
忠実,ちゅうじつ,忠实，忠诚；照原样
忠言,ちゅうげん,忠言，忠告
快い,こころよい,高兴的，愉快的
快感,かいかん,快感，感觉愉快
快晴,かいせい,名词 大晴天，晴朗，好天气
快諾,かいだく,欣然允诺
快適,かいてき,形容动词 舒服，舒适，愉快
念,ねん,念，念头；夙愿；注意，用心
念のため,ねんのため,保险起见，慎重起见
念仏,ねんぶつ,念佛，念经
念入り,ねんいり,周到，细致
念頭,ねんとう,心上，心头
念願,ねんがん,愿望，心愿
怒り,いかり,名词 生气，怒，愤怒，气愤
怒ります,おこります,动1 【自】生气
怒る,おこる,生气，发怒，发火
怒鳴りつける,どなりつける,大声训斥，大声叱责
怒鳴る,どなる,大声喊叫；大声训斥
怖い,こわい,可怕的，令人害怕的
怖がる,こわがる,害怕
思い,おもい,名词 情感，感情；想法
思いがけない,おもいがけない,意想不到的，意外的
思いつく,おもいつく,（忽然）想出，想起，想到
思います,おもいます,想，认为，觉得
思いもよらない,おもいもよらない,出乎意料，万万没想到
思いやり,おもいやり,同情心，体贴
思い付き,おもいつき,偶然的想法；主意
思い出,おもいで,名词 回忆；往事
思い出します,おもいだします,动1 【他】想起，想出
思い出す,おもいだす,想起来，回忆起
思い切り,おもいきり,副词 彻底．痛快；决心．决意
思い切る,おもいきる,动1 决心，决意，下狠心
思い浮かぶ,おもいうかぶ,想起来，回忆起来
思い込む,おもいこむ,深信；下定决心
思い返す,おもいかえす,动1 回想，反省；再考虑一番，重新考虑
思い通り,おもいどおり,名词 如自己所想
思う,おもう,想，思考；觉得；思念
思う存分,おもうぞんぶん,尽情地，痛快地
思える,おもえる,感到
思わしい,おもわしい,令人满意的，中意的
思わず,おもわず,专有词 禁不住，不由得
思惑,おもわく,想法，念头；看法，评价
思想,しそう,思想；想法
思春期,ししゅんき,名词 青春期
思潮,しちょう,思潮
怠ける,なまける,动2 懒悄，懈怠
怠け者,なまけもの,懒人
怠る,おこたる,懈怠，偷懒；疏忽，大意
怠慢,たいまん,懈怠，怠慢，玩忽（职守）
急,きゅう,形2 突然；紧急
急いで,いそいで,赶紧，急忙
急かす,せかす,催促
急ぎます,いそぎます,赶快，着急
急ぐ,いそぐ,着急；加快
急に,きゅうに,突然
急停車,きゅうていしゃする,动3 紧急停车
急激,きゅうげき,形容动词 急剧，急速
急用,きゅうよう,名词 急事
急病,きゅうびょう,名词 突然得病，急病
急落,きゅうらく,名词 暴跌，快速下跌，快速降落
急行,きゅうこう,快车；急往，奔赴
急速,きゅうそく,迅速，快速
急騰,きゅうとう,暴涨，急剧增长
性別,せいべつ,名词 性别
性格,せいかく,性格
性能,せいのう,性能
性質,せいしつ,名词 品质，性质
怪しい,あやしい,可疑的，奇怪的；靠不住的
怪しむ,あやしむ,怀疑，觉得奇怪
怪我,けが,（身体）伤，受伤
怪獣,かいじゅう,怪兽
怯える,おびえる,害怕，胆怯
恋しい,こいしい,爱慕的；怀念的，眷恋的
恋人,こいびと,恋人
恋愛,れんあい,恋爱
恐らく,おそらく,恐怕，或许
恐れ,おそれ,名词 恐惧，害怕
恐れる,おそれる,害怕；担心
恐れ入る,おそれいる,不好意思；非常感激；佩服
恐ろしい,おそろしい,可怕的；惊人的，厉害的
恐怖,きょうふ,恐怖，恐惧
恐縮,きょうしゅく,名词 抱歉，对不起，过意不去
恒例,こうれい,惯例，常例，常规
恥じる,はじる,羞愧，惭愧；败坏名誉
恥ずかしい,はずかしい,惭愧的；害羞的
恥らう,はじらう,害羞，羞涩
恨み,うらみ,恨，怨恨，仇恨
恨む,うらむ,恨，怨恨，抱怨
恩,おん,恩情
恩師,おんし,名词 恩师，老师
恩恵,おんけい,恩惠，恩情
恭しい,うやうやしい,恭敬的，有礼貌的
息,いき,呼吸，喘气；气息
息子,むすこ,儿子
息抜き,いきぬき,歇口气，休息一会儿
恵まれる,めぐまれる,受到恩惠，富有
恵み,めぐみ,恩赐，恩惠
恵む,めぐむ,怜恤，施恩惠，救济
悉く,ことごとく,全部，所有
悔いる,くいる,懊悔，后悔
悔しい,くやしい,遗憾的，懊悔的
悔しがる,くやしがる,遗憾，懊悔
悔やむ,くやむ,后悔，遗憾
悟る,さとる,知晓，领悟；察觉，发觉
悠々,ゆうゆう,悠然自得；绰绰有余
悠久,ゆうきゅう,名词 悠久
患う,わずらう,患病；苦恼，烦恼
患者,かんじゃ,患者
悩ましい,なやましい,烦恼的，苦恼的
悩ます,なやます,使苦恼，使为难
悩み,なやみ,名 烦恼
悩む,なやむ,动1 烦恼，苦恼
悪い,わるい,坏的
悪いけど,わるいけど,名词 不好意思
悪しからず,あしからず,不要见怪，原谅
悪人,あくにん,坏人
悪化,あっか,名词 恶化
悪口,わるくち,名词 坏话
悪天候,あくてんこう,坏天气，恶劣的天气
悪寒,おかん,发冷，恶寒
悪徳,あくとく,缺德，不道德
悪戦,あくせん,艰苦的战斗，恶战
悪戯,いたずら,恶作剧；消遣，开玩笑
悪者,わるもの,坏人
悪質,あくしつ,质量差；性质恶劣
悪銭,あくせん,不义之财
悪魔,あくま,恶魔
悲しい,かなしい,悲伤的
悲しむ,かなしむ,（感到）悲伤
悲劇,ひげき,名词 悲剧
悲惨,ひさん,悲惨，凄惨
悲観,ひかん,悲观，失望
悲観的,ひかんてき,悲观的
悲鳴,ひめい,悲鸣，惨叫；叫苦声
悼む,いたむ,哀悼，悼念
情け,なさけ,仁慈，情义；爱情，恋情
情けない,なさけない,形容词 可耻，没出息
情け深い,なさけぶかい,仁慈的，有同情心的
情報,じょうほう,名词 信息，消息，情报
情熱,じょうねつ,热情，激情
情緒,じょうちょ/じょうしょ,情趣；情绪
惑星,わくせい,行星；有前途的人
惚ける/恍ける,とぼける,装傻，装糊涂；出洋相
惜しい,おしい,可惜的，遗憾的
惜しまず,おしまず,不惜，毫不吝惜
惜しむ,おしむ,吝惜，舍不得；惋惜；爱惜，珍惜
惨め,みじめ,凄惨的，悲惨的
想像,そうぞう,名词 想象，设想
想定,そうてい,估计，设想，假想
想定～,そうていする,动3 想象到，设想，设定，预定，预期
愉快,ゆかい,愉快的，高兴的
意向,いこう,意向，打算
意味,いみ,意思
意図,いと,意图，打算，企图
意地,いじ,心术，用心
意地悪,いじわる,形容动词 捉弄，使坏，恶作剧
意外,いがい,形容动词 出乎意料，意外
意外と,いがいと,副词 意外地
意志,いし,名词 意愿，意志，意向
意志形,,说话人当场表示自己的决心、意志。从基本形变起 \n动1：->“お”段上的长音； \n动2：“る”->“よう”； \n动3：する→しよう；くる→こよう；
意思,いし,意思，想法；打算
意欲,いよく,意愿；积极性
意気込み,いきごみ,干劲儿，热情
意気込む,いきごむ,振奋，鼓起干劲儿
意義,いぎ,意义，价值
意見,いけん,意见；提建议，劝告
意識,いしき,名词 意识
愚か,おろか,愚蠢的，糊涂的
愚痴,ぐち,抱怨，牢骚
愛,あい,名词 爱
愛くるしい,あいくるしい,天真可爱的
愛しい,いとしい,可爱的；可怜的
愛し合う,あいしあう,动1 互爱，相互爱慕
愛する,あいする,喜爱，热爱；爱；爱好
愛好,あいこうする,动3 爱好
愛好者,あいこうしゃ,名词 爱好者
愛嬌,あいきょう,言行举止可爱；殷勤，讨好
愛情,あいじょう,名词 爱，爱情
愛想,あいそ/あいそう,亲切，和蔼；招待
愛用,あいようする,动3 爱用，喜欢用
愛着,あいちゃく,名词 留恋，难舍
愛顧,あいこ,名词 光顾，眷顾，惠顾
感じ,かんじ,感觉；印象
感じがします,かんじがします,惯用语 感觉，觉得
感じます,かんじます,动2 【自他】感觉，觉得
感じる,かんじる,感觉，感到
感動,かんどう,感动
感動する,かんどうする,动3 感动
感度,かんど,灵敏度，灵敏性
感心,かんしん,钦佩，佩服
感性,かんせい,名词 感觉．感性
感情,かんじょう,感情，情绪
感想,かんそう,名词 感想
感染,かんせん,感染，传染；沾染
感染～,かんせんする,动3 感染，染上
感激,かんげき,名词 感激，感动
感無量,かんむりょう,感慨万千的
感覚,かんかく,名词 感觉
感触,かんしょく,触觉，触感；感觉
感謝,かんしゃ,感谢
感謝～,かんしゃします,动3 感谢
感銘,かんめい,感人肺腑，铭刻于心
態勢,たいせい,态势，姿态
態度,たいど,态度
慌ただしい,あわただしい,慌张的，匆忙的
慌てます,あわてます,动2 【自】慌张，惊慌，着急
慌てる,あわてる,慌张；急忙
慌て者,あわてもの,冒失鬼；急性子
慎む,つつしむ,谨慎，慎重；节制
慎重,しんちょう,慎重，谨慎
慕う,したう,爱慕，思慕；敬仰；追随
慢性,まんせい,慢性
慣らす,ならす,使习惯，使适应
慣れます,なれます,动2 【自】习惯
慣れる,なれる,习惯，适应
慣例,かんれい,惯例，常规
慣用句,かんようく,惯用句，熟语
慮る,おもんぱかる,思虑，考虑
慰める,なぐさめる,动2 安慰，宽慰；慰问，慰劳
慰留,いりゅう,挽留
憂える/愁える,うれえる,忧虑，担心
憂鬱,ゆううつ,忧郁，郁闷
憎い,にくい,可憎的，可恶的；令人佩服的
憎しみ,にくしみ,憎恶，憎恨
憎たらしい,にくたらしい,可憎的，可恶的
憎む,にくむ,憎恶，憎恨；厌恶
憎らしい,にくらしい,可憎的，可恶的
憚る,はばかる,忌惮，顾忌；有势力，当权
憤り,いきどおり,愤怒，愤慨
憤る,いきどおる,愤怒，气愤，愤慨
憤慨,ふんがい,愤慨，气愤
憧れる,あこがれる,憧憬，向往
憩い,いこい,名词 休憩，休息
憲法,けんぽう,宪法
懇ろ,ねんごろ,恳切的；殷勤的；亲密的
懇親会,こんしんかい,联欢会，联谊会
懐かしい,なつかしい,形容词 怀念，留恋
懐く,なつく,亲近，喜欢
懐中電灯,かいちゅうでんとう,手电筒
懐石料理,かいせきりょうり,怀石料理（一种高级日本料理）
懲りる,こりる,因尝过苦头而不敢再尝试
懲役,ちょうえき,徒刑，刑役
懸命,けんめい,名词 拼命，竭尽全力
懸念,けねん,担心，忧虑
成し遂げる,なしとげる,完成，做完
成す,なす,形成，构成；完成，达到目的
成り立つ,なりたつ,动1 成立
成り行き,なりゆき,动向，趋势
成る,なる,做完，完成；成，成功；构成
成人,せいじん,名词 成年人，大人
成分,せいぶん,成分
成功,せいこう,成功
成功します,せいこうします,动3 成功
成否,せいひ,成败，成功与否
成年,せいねん,成年
成果,せいか,名词 成果，成就
成熟,せいじゅく,成熟
成田,なりた,专有词 成田
成立,せいりつ,成立，完成，实现
成立～,せいりつする,动3 成立，完成
成績,せいせき,成绩
成金,なりきん,暴发户，暴富的人
成長,せいちょう,成长，发育；增长，发展
我々,われわれ,我们
我が国,わがくに,名词 我国
我が家,わがや,名词 亲戚，自己家
我が社,わがしゃ,名词 我公司，本公司
我慢,がまん,忍耐，容忍
我慢強い,がまんづよい,有忍耐力的，有耐心的
我慢～,がまんする,动3 忍耐
戒める,いましめる,劝诫，劝告；禁止，戒；警惕
或いは,あるいは,或者；或是
或る,ある,某……，某个……
戦い/闘い,たたかい,战争；战斗；比赛
戦う,たたかう,动1 战斗，斗争
戦う/闘う,たたかう,战斗；比赛；与⋯⋯斗争
戦争,せんそう,战争
戦力,せんりょく,军事力量，作战能力
戦士,せんし,战士
戦略,せんりゃく,名词 战略
戦術,せんじゅつ,战术，策略
戦闘,せんとう,战斗
戯曲,ぎきょく,剧本；戏剧
戴,たい,专 戴
戸惑う,とまどう,困惑，不知所措，踌躇
戸棚,とだな,名词 橱，柜
戸籍,こせき,户籍
戸締り,とじまり,锁门，锁紧门户
戻します,もどします,动1 【他】放回，返还，返回
戻す,もどす,返还，归还；退回；使⋯⋯倒退
戻ります,もどります,动1 【自】返回，回到
戻る,もどる,返回，回到；回家
所,ところ,场所，地方
所々,ところどころ,到处，处处
所在,しょざい,住处，所在地；（职责）所在；工作
所定,しょてい,指定，规定
所属,しょぞく,名词 工作单位；所属．附属
所得,しょとく,所得，收入
所持,しょじ,所持，所有；携带
所有,しょゆう,所有，拥有
所詮,しょせん,归根到底，终归
所長,しょちょう,名词 所长
扇ぐ,あおぐ,扇（风、火等）；煽动
扇子,せんす,名词 扇子，折扇
扇風機,せんぷうき,名词 风扇，电风扇
扉,とびら,名词 门，门扇；扉页
手,て,手；手腕
手あたり次第,てあたりしだい,随手抓到什么算什么
手がかかる,てがかかる,惯用语 麻烦，费事
手がかり,てがかり,名词 线索
手がける,てがける,亲自动手；亲自培养
手こずる,てこずる,棘手，难对付
手ごたえ,てごたえ,手感；反应，效果
手っ取り早い,てっとりばやい,迅速的；简单的，直截了当的
手に入れる,てにいれる,惯用语 获得，拿到
手のひら,てのひら,名词 手掌
手ぶら,てぶら,空着手，赤手空拳
手ぶり,てぶり,手势，手的动作
手伝います,てつだいます,帮忙，帮助
